C,H,N,O,S,P,NOSC,mass,,PreSW4.csv,PreSW5.csv,PreSW6.csv,Initial,AvgInitial,,PosSW10.csv,PosSW11.csv,PosSW12.csv,Post,AvgPost,,H/C,O/C,,m/z,DBE,DBE/C,DBE/H,DBE/O,CRAM,,AI,AI-mod,,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,,KM,NKM,KMD
19,12,0,11,0,0,0.526315789,415.0306842,,5546103,5110363,5288748,Yes,5315071.333,,0,0,0,No,0,,0.631578947,0.578947368,,415.03068,14,0.736842105,1.166666667,1.272727273,O,,,0.62962963,,----,Aromatic,----,----,----,----,,415.12665,415.00000,0.12665
19,12,0,12,0,0,0.631578947,431.0255988,,4639816,3978634,3960935,Yes,4193128.333,,0,0,0,No,0,,0.631578947,0.631578947,,431.02560,14,0.736842105,1.166666667,1.166666667,O,,,0.615384615,,----,Aromatic,----,----,----,----,,431.12527,431.00000,0.12527
19,12,0,13,0,0,0.736842105,447.0205134,,3119149,2963961,2905698,Yes,2996269.333,,0,0,0,No,0,,0.631578947,0.684210526,,447.02051,14,0.736842105,1.166666667,1.076923077,O,,,0.6,,----,Aromatic,----,----,----,----,,447.12388,447.00000,0.12388
19,14,0,7,0,0,0,353.0666758,,1956839,2385249,2902106,Yes,2414731.333,,0,0,0,No,0,,0.736842105,0.368421053,,353.06668,13,0.684210526,0.928571429,1.857142857,O,,,0.612903226,,----,Aromatic,----,----,----,----,,353.14832,353.00000,0.14832
19,14,0,8,0,0,0.105263158,369.0615904,,4496161,4681415,4644657,Yes,4607411,,0,0,0,No,0,,0.736842105,0.421052632,,369.06159,13,0.684210526,0.928571429,1.625,O,,,0.6,,----,Aromatic,----,----,----,----,,369.14693,369.00000,0.14693
19,14,0,9,0,0,0.210526316,385.056505,,6610253,6384344,6250581,Yes,6415059.333,,0,0,0,No,0,,0.736842105,0.473684211,,385.05650,13,0.684210526,0.928571429,1.444444444,O,,,0.586206897,,----,Aromatic,----,----,----,----,,385.14554,385.00000,0.14554
19,14,0,10,0,0,0.315789474,401.0514196,,8682644,8349257,8813561,Yes,8615154,,0,0,0,No,0,,0.736842105,0.526315789,,401.05142,13,0.684210526,0.928571429,1.3,O,,,0.571428571,,----,Aromatic,----,----,----,----,,401.14416,401.00000,0.14416
19,14,0,13,0,0,0.631578947,449.0361634,,5211944,4841853,4841878,Yes,4965225,,0,0,0,No,0,,0.736842105,0.684210526,,449.03616,13,0.684210526,0.928571429,1,O,,,0.52,,----,Aromatic,----,----,----,----,,449.14000,449.00000,0.14000
19,16,0,6,0,0,-0.210526316,339.0874112,,1437493,1729434,1585767,Yes,1584231.333,,0,0,0,No,0,,0.842105263,0.315789474,,339.08741,12,0.631578947,0.75,2,O,,,0.5625,,----,Aromatic,----,----,----,----,,339.16582,339.00000,0.16582
19,16,0,7,0,0,-0.105263158,355.0823258,,3823280,3073416,3545776,Yes,3480824,,0,0,0,No,0,,0.842105263,0.368421053,,355.08233,12,0.631578947,0.75,1.714285714,CRAM,,,0.548387097,,----,Aromatic,----,----,----,----,,355.16443,355.00000,0.16443
