mass,m/z,C,H,N,O,S,P,H/C,O/C,DBE,DBE/C,DBE/H,DBE/O,CRAM,AI-mod,PolyCyArom,Aromatic,HighUnsatLign,UnsatAliph-N,SatFatAcCarb,UnSatAlip+N,KM,NKM,KMD,PosFHW1.csv,PosFHW2.csv,PosFHW3.csv,PosFHW-Gt1.csv,PosFHW-Gt2.csv,PosFHW-Gt3.csv
425.093678,425.09368,15,22,0,14,0,0,1.466666667,0.933333333,5,0.333333333,0.227272727,0.357142857,O,-0.25,----,----,HUnSatLig,----,----,----,425.19197,425,0.19197,20096748,21177893,13938846,4012370,4701333,4949041
441.0885926,441.08859,15,22,0,15,0,0,1.466666667,1,5,0.333333333,0.227272727,0.333333333,O,-0.333333333,----,----,HUnSatLig,----,----,----,441.19059,441,0.19059,6144046,6371925,4456942,0,0,0
389.1201676,389.12017,15,22,2,10,0,0,1.466666667,0.666666667,6,0.4,0.272727273,0.6,O,0,----,----,HUnSatLig,----,----,----,389.21015,389,0.21015,3740627,4145527,3078083,3857009,4198168,3073002
405.1150822,405.11508,15,22,2,11,0,0,1.466666667,0.733333333,6,0.4,0.272727273,0.545454545,O,-0.066666667,----,----,HUnSatLig,----,----,----,405.20876,405,0.20876,3366373,3097684,2245904,0,0,0
385.1364864,385.13649,15,22,4,8,0,0,1.466666667,0.533333333,7,0.466666667,0.318181818,0.875,CRAM,0.142857143,----,----,HUnSatLig,----,----,----,385.22554,385,0.22554,4532241,4214169,3965893,6326937,6270767,5003712
392.1198332,392.11983,15,23,1,11,0,0,1.533333333,0.733333333,5,0.333333333,0.217391304,0.454545455,O,-0.117647059,----,----,----,----,SatFACarb,----,392.21051,392,0.21051,3312766,3669021,3250804,3663129,3214779,3035847
408.1147478,408.11475,15,23,1,12,0,0,1.533333333,0.8,5,0.333333333,0.217391304,0.416666667,O,-0.1875,----,----,----,----,SatFACarb,----,408.20912,408,0.20912,4469116,4752731,3513022,1990394,2423826,2224885
424.1096624,424.10966,15,23,1,13,0,0,1.533333333,0.866666667,5,0.333333333,0.217391304,0.384615385,O,-0.266666667,----,----,----,----,SatFACarb,----,424.20773,424,0.20773,3617471,3797576,2624754,0,0,0
356.1463228,356.14632,15,23,3,7,0,0,1.533333333,0.466666667,6,0.4,0.260869565,0.857142857,CRAM,0.117647059,----,----,----,----,----,Alipat+N,356.22868,356,0.22868,4473131,4546393,4475839,9046154,9540465,8924494
372.1412374,372.14124,15,23,3,8,0,0,1.533333333,0.533333333,6,0.4,0.260869565,0.75,O,0.0625,----,----,----,----,----,Alipat+N,372.22729,372,0.22729,4605586,4657915,4119648,5271600,6898704,5858846
388.136152,388.13615,15,23,3,9,0,0,1.533333333,0.6,6,0.4,0.260869565,0.666666667,O,0,----,----,----,----,SatFACarb,----,388.2259,388,0.2259,4915947,4713611,4290257,2427782,2246699,2355435
384.1524708,384.15247,15,23,5,7,0,0,1.533333333,0.466666667,7,0.466666667,0.304347826,1,CRAM,0.153846154,----,----,----,----,----,Alipat+N,384.2413,384,0.2413,3306267,3866774,3626680,7072154,6762023,7338154
331.1398404,331.13984,15,24,0,8,0,0,1.6,0.533333333,4,0.266666667,0.166666667,0.5,O,0,----,----,----,AlipatNoN,----,----,331.21641,331,0.21641,4637246,4343185,3535558,6493319,6376612,6503007
347.134755,347.13475,15,24,0,9,0,0,1.6,0.6,4,0.266666667,0.166666667,0.444444444,O,-0.047619048,----,----,----,----,SatFACarb,----,347.21502,347,0.21502,4361214,5140715,4619563,5090736,4952193,4678231
363.1296696,363.12967,15,24,0,10,0,0,1.6,0.666666667,4,0.266666667,0.166666667,0.4,O,-0.1,----,----,----,----,SatFACarb,----,363.21364,363,0.21364,5924022,5631977,5312686,5133617,5479539,4762204
379.1245842,379.12458,15,24,0,11,0,0,1.6,0.733333333,4,0.266666667,0.166666667,0.363636364,O,-0.157894737,----,----,----,----,SatFACarb,----,379.21225,379,0.21225,7969282,7741221,5981442,6287420,6426766,5608149
395.1194988,395.1195,15,24,0,12,0,0,1.6,0.8,4,0.266666667,0.166666667,0.333333333,O,-0.222222222,----,----,----,----,SatFACarb,----,395.21086,395,0.21086,16484606,16543363,16010452,26346376,22093843,28345186
411.1144134,411.11441,15,24,0,13,0,0,1.6,0.866666667,4,0.266666667,0.166666667,0.307692308,O,-0.294117647,----,----,----,----,SatFACarb,----,411.20948,411,0.20948,24945373,26289682,22242059,14171120,14534260,13794252
427.109328,427.10933,15,24,0,14,0,0,1.6,0.933333333,4,0.266666667,0.166666667,0.285714286,O,-0.375,----,----,----,----,SatFACarb,----,427.20809,427,0.20809,28149566,31786449,26386405,8451372,8573939,9489375
443.1042426,443.10424,15,24,0,15,0,0,1.6,1,4,0.266666667,0.166666667,0.266666667,O,-0.466666667,----,----,----,----,SatFACarb,----,443.2067,443,0.2067,7061551,7397825,5696786,0,0,0
375.140903,375.1409,15,24,2,9,0,0,1.6,0.6,5,0.333333333,0.208333333,0.555555556,O,-0.058823529,----,----,----,----,SatFACarb,----,375.22765,375,0.22765,2874830,3341455,2578473,2873271,3451851,2808302
407.1307322,407.13073,15,24,2,11,0,0,1.6,0.733333333,5,0.333333333,0.208333333,0.454545455,O,-0.2,----,----,----,----,SatFACarb,----,407.22488,407,0.22488,4264188,5214478,4018832,2037914,2076639,2371229
371.1572218,371.15722,15,24,4,7,0,0,1.6,0.466666667,6,0.4,0.25,0.857142857,CRAM,0.066666667,----,----,----,----,----,Alipat+N,371.24305,371,0.24305,3173760,2959307,3400477,6912771,7700177,6820058
387.1521364,387.15214,15,24,4,8,0,0,1.6,0.533333333,6,0.4,0.25,0.75,O,0,----,----,----,----,----,Alipat+N,387.24166,387,0.24166,3789311,3335065,3633625,4537493,4946231,4328423
394.1354832,394.13548,15,25,1,11,0,0,1.666666667,0.733333333,4,0.266666667,0.16,0.363636364,O,-0.235294118,----,----,----,----,SatFACarb,----,394.22662,394,0.22662,3334705,4046274,2851862,3296962,3828567,3280527
410.1303978,410.1304,15,25,1,12,0,0,1.666666667,0.8,4,0.266666667,0.16,0.333333333,O,-0.3125,----,----,----,----,SatFACarb,----,410.22523,410,0.22523,4063855,4396510,4493052,1761190,2096222,2489743
