"Mass","Forest","fenton","adsorbed","HC","OC","Class"
343.0459,"HW","PreFenton","unbound",0.71,0.47,"Aromatic"
343.0671,"HW","PostFenton","unbound",1.14,0.71,"Lignin-like"
343.0671,"HW","PreFenton","sorbed",1.14,0.71,"Lignin-like"
343.0823,"HW","PostFenton","sorbed",0.89,0.39,"Aromatic"
343.0823,"HW","PreFenton","unbound",0.89,0.39,"Aromatic"
343.1035,"HW","PostFenton","unbound",1.33,0.6,"Lignin-like"
343.1035,"HW","PreFenton","unbound",1.33,0.6,"Lignin-like"
343.1147,"HW","PostFenton","sorbed",1.43,0.57,"Lignin-like"
343.1187,"HW","PreFenton","unbound",1.05,0.32,"Lignin-like"
343.1398,"HW","PostFenton","unbound",1.5,0.5,"Aliphatic-noN"
343.1398,"HW","PreFenton","unbound",1.5,0.5,"Aliphatic-noN"
343.1511,"HW","PostFenton","new",1.6,0.47,"Aliphatic+N"
343.1511,"HW","PreFenton","unbound",1.6,0.47,"Aliphatic+N"
343.1551,"HW","PostFenton","new",1.2,0.25,"Lignin-like"
343.1551,"HW","PreFenton","unbound",1.2,0.25,"Lignin-like"
343.1623,"HW","PostFenton","new",1.71,0.43,"Aliphatic+N"
343.1762,"HW","PostFenton","unbound",1.65,0.41,"Aliphatic-noN"
343.1762,"HW","PreFenton","unbound",1.65,0.41,"Aliphatic-noN"
343.1987,"HW","PostFenton","new",1.87,0.33,"Aliphatic+N"
343.1987,"HW","PreFenton","unbound",1.87,0.33,"Aliphatic+N"
343.2126,"HW","PostFenton","unbound",1.78,0.33,"Aliphatic-noN"
343.2126,"HW","PreFenton","unbound",1.78,0.33,"Aliphatic-noN"
343.249,"HW","PreFenton","new",1.89,0.26,"Aliphatic-noN"
344.1099,"HW","PostFenton","sorbed",1.46,0.62,"Lignin-like"
344.1463,"HW","PostFenton","unbound",1.64,0.5,"Aliphatic+N"
344.1463,"HW","PreFenton","new",1.64,0.5,"Aliphatic+N"
344.1827,"HW","PostFenton","unbound",1.8,0.4,"Aliphatic+N"
344.1827,"HW","PreFenton","unbound",1.8,0.4,"Aliphatic+N"
344.2191,"HW","PostFenton","new",1.94,0.31,"Aliphatic+N"
344.2191,"HW","PreFenton","unbound",1.94,0.31,"Aliphatic+N"
345.0252,"HW","PostFenton","sorbed",0.62,0.56,"Aromatic"
345.0252,"HW","PreFenton","sorbed",0.62,0.56,"Aromatic"
345.0463,"HW","PostFenton","sorbed",1.08,0.85,"Lignin-like"
345.0616,"HW","PostFenton","sorbed",0.82,0.47,"Aromatic"
345.0616,"HW","PreFenton","unbound",0.82,0.47,"Aromatic"
345.0827,"HW","PostFenton","unbound",1.29,0.71,"Lignin-like"
345.0827,"HW","PreFenton","sorbed",1.29,0.71,"Lignin-like"
