soil,Mass,Class,intensity,Forest,Treatment,Fenton,Goethite
Soil_1,387.1085,Lignin,9447477,HW,PreFenton,PreFenton,PreGoethite
Soil_1,387.1297,Lignin,7661628,HW,PreFenton,PreFenton,PreGoethite
Soil_1,387.1661,Protein,10655815,HW,PreFenton,PreFenton,PreGoethite
Soil_1,387.1813,Lignin,8063052,HW,PreFenton,PreFenton,PreGoethite
Soil_1,387.2177,Lignin,4134999,HW,PreFenton,PreFenton,PreGoethite
Soil_1,387.2388,Protein,5923934,HW,PreFenton,PreFenton,PreGoethite
Soil_1,389.0514,ConHC,11950726,HW,PreFenton,PreFenton,PreGoethite
Soil_1,389.0878,Lignin,14682769,HW,PreFenton,PreFenton,PreGoethite
Soil_1,389.1089,Tannin,5252759,HW,PreFenton,PreFenton,PreGoethite
Soil_1,389.1242,Lignin,13443740,HW,PreFenton,PreFenton,PreGoethite
Soil_1,389.1453,AminoSugar,4066978,HW,PreFenton,PreFenton,PreGoethite
Soil_1,389.1606,Lignin,14023335,HW,PreFenton,PreFenton,PreGoethite
Soil_1,389.1817,Protein,8573613,HW,PreFenton,PreFenton,PreGoethite
Soil_1,389.197,Lignin,8516273,HW,PreFenton,PreFenton,PreGoethite
Soil_1,389.2181,Protein,8573624,HW,PreFenton,PreFenton,PreGoethite
Soil_1,389.2545,Protein,3359939,HW,PreFenton,PreFenton,PreGoethite
Soil_1,391.0307,ConHC,9802948,HW,PreFenton,PreFenton,PreGoethite
Soil_1,391.0671,Lignin,15137998,HW,PreFenton,PreFenton,PreGoethite
Soil_1,391.1035,Lignin,19381464,HW,PreFenton,PreFenton,PreGoethite
Soil_1,391.161,AminoSugar,4185321,HW,PreFenton,PreFenton,PreGoethite
Soil_1,391.1762,Lignin,15453421,HW,PreFenton,PreFenton,PreGoethite
Soil_1,391.1974,Protein,3938547,HW,PreFenton,PreFenton,PreGoethite
Soil_1,391.2126,Lignin,7691511,HW,PreFenton,PreFenton,PreGoethite
Soil_1,391.2337,Protein,3845885,HW,PreFenton,PreFenton,PreGoethite
Soil_1,393.0463,Lignin,13625066,HW,PreFenton,PreFenton,PreGoethite
Soil_1,393.0827,Lignin,17313523,HW,PreFenton,PreFenton,PreGoethite
Soil_1,393.1038,Tannin,3390713,HW,PreFenton,PreFenton,PreGoethite
Soil_1,393.1191,Lignin,19681021,HW,PreFenton,PreFenton,PreGoethite
Soil_1,393.1402,AminoSugar,2946818,HW,PreFenton,PreFenton,PreGoethite
Soil_1,393.1555,Lignin,19562246,HW,PreFenton,PreFenton,PreGoethite
Soil_1,393.1766,AminoSugar,5418764,HW,PreFenton,PreFenton,PreGoethite
Soil_1,393.1919,Lignin,14970640,HW,PreFenton,PreFenton,PreGoethite
Soil_1,393.213,Protein,2029846,HW,PreFenton,PreFenton,PreGoethite
Soil_1,393.2283,Lipid,5185306,HW,PreFenton,PreFenton,PreGoethite
Soil_1,395.0256,ConHC,6754529,HW,PreFenton,PreFenton,PreGoethite
Soil_1,395.062,Lignin,16933098,HW,PreFenton,PreFenton,PreGoethite
Soil_1,395.0984,Lignin,18989299,HW,PreFenton,PreFenton,PreGoethite
Soil_1,395.1195,Carb,34484472,HW,PreFenton,PreFenton,PreGoethite
Soil_1,395.1348,Lignin,17547516,HW,PreFenton,PreFenton,PreGoethite
Soil_1,395.1711,Lignin,18505989,HW,PreFenton,PreFenton,PreGoethite
Soil_1,395.2075,Protein,11100430,HW,PreFenton,PreFenton,PreGoethite
Soil_1,395.2439,Lipid,4228374,HW,PreFenton,PreFenton,PreGoethite
Soil_1,397.0776,Lignin,15467202,HW,PreFenton,PreFenton,PreGoethite
Soil_1,397.114,Lignin,15192778,HW,PreFenton,PreFenton,PreGoethite
Soil_1,397.1351,Carb,3609807,HW,PreFenton,PreFenton,PreGoethite
Soil_1,397.1504,Lignin,15426259,HW,PreFenton,PreFenton,PreGoethite
Soil_1,397.1657,Lignin,3233494,HW,PreFenton,PreFenton,PreGoethite
Soil_1,397.1868,Protein,16057051,HW,PreFenton,PreFenton,PreGoethite
Soil_1,397.2232,Protein,9306851,HW,PreFenton,PreFenton,PreGoethite
Soil_1,398.1093,Lignin,2910628,HW,PreFenton,PreFenton,PreGoethite
Soil_1,398.1569,Lignin,3874734,HW,PreFenton,PreFenton,PreGoethite
Soil_1,398.1933,Protein,3435957,HW,PreFenton,PreFenton,PreGoethite
Soil_1,399.0569,Tannin,8580200,HW,PreFenton,PreFenton,PreGoethite
Soil_1,399.0933,Lignin,12756080,HW,PreFenton,PreFenton,PreGoethite
Soil_1,399.1297,Lignin,12559479,HW,PreFenton,PreFenton,PreGoethite
