Mass,Forest,treatment,intensity
615.3388,HW,PreFenton,0
616.2473,HW,PreFenton,0
617.1512,HW,PreFenton,0
617.2241,HW,PreFenton,0
617.2604,HW,PreFenton,0
617.2816,HW,PreFenton,0
617.2969,HW,PreFenton,0
617.3028,HW,PreFenton,0
617.3181,HW,PreFenton,0
617.3334,HW,PreFenton,0
617.829,HW,PreFenton,0
619.2396,HW,PreFenton,0
619.2761,HW,PreFenton,0
619.3125,HW,PreFenton,0
621.1826,HW,PreFenton,0
621.2553,HW,PreFenton,0
621.2917,HW,PreFenton,0
621.3281,HW,PreFenton,0
622.2102,HW,PreFenton,0
623.2349,HW,PreFenton,0
623.271,HW,PreFenton,0
623.3074,HW,PreFenton,0
623.344,HW,PreFenton,0
625.0954,HW,PreFenton,0
625.2293,HW,PreFenton,0
625.2503,HW,PreFenton,0
625.2655,HW,PreFenton,0
625.2867,HW,PreFenton,0
625.323,HW,PreFenton,0
625.3596,HW,PreFenton,0
627.1721,HW,PreFenton,0
627.2086,HW,PreFenton,0
627.2449,HW,PreFenton,0
627.2506,HW,PreFenton,0
627.2659,HW,PreFenton,0
627.2813,HW,PreFenton,0
627.3024,HW,PreFenton,0
627.3388,HW,PreFenton,0
629.1513,HW,PreFenton,0
629.224,HW,PreFenton,0
629.2606,HW,PreFenton,0
629.2663,HW,PreFenton,0
629.2815,HW,PreFenton,0
629.2968,HW,PreFenton,0
629.3179,HW,PreFenton,0
631.167,HW,PreFenton,0
631.2761,HW,PreFenton,0
631.3125,HW,PreFenton,0
631.3336,HW,PreFenton,0
633.1827,HW,PreFenton,0
633.2554,HW,PreFenton,0
633.2917,HW,PreFenton,0
633.3282,HW,PreFenton,0
634.2119,HW,PreFenton,0
635.2346,HW,PreFenton,0
635.271,HW,PreFenton,0
635.3075,HW,PreFenton,0
